uniprot_acc	is_control_genes
Q9BRK5	FALSE
Q9BRP8	FALSE
Q9BRX5	FALSE
Q9BRX8	FALSE
Q9BS26	FALSE
Q9BTY2	FALSE
Q9BV36	FALSE
Q9BVG4	FALSE
Q9BW30	FALSE
Q9BWD1	FALSE
Q9BWP8	FALSE
Q9BXK5	FALSE
Q9BXN1	FALSE
Q9BXR6	FALSE
Q9BXS5	FALSE
Q9BXX0	FALSE
Q9BY67	FALSE
Q9BYE9	FALSE
Q9BYK8	FALSE
Q9BYX7	FALSE
Q9GZT8	FALSE
Q9GZZ9	FALSE
Q9H0E2	FALSE
Q9H0P0	FALSE
Q9H0W9	FALSE
Q9H160	FALSE
Q9H1U4	FALSE
Q9H299	FALSE
Q9H3H9	FALSE
Q9H3K6	FALSE
Q9H3U1	FALSE
Q9H479	FALSE
Q9H4A4	FALSE
Q9H4B7	FALSE
Q9H4B8	FALSE
Q9H4M9	FALSE
Q9H6X2	FALSE
Q9H8L6	FALSE
Q9H910	FALSE
Q9HAB8	FALSE
Q9HAT2	FALSE
Q9HBB8	FALSE
Q9HBI1	FALSE
Q9HBR0	FALSE
Q9HC38	FALSE
Q9HC84	FALSE
Q9HCB6	FALSE
Q9HCU9	FALSE
Q9HCY8	FALSE
Q9HDC9	FALSE
Q9NNW7	FALSE
Q9NP79	FALSE
Q9NP97	FALSE
Q9NPD3	FALSE
Q9NPH3	FALSE
Q9NPY3	FALSE
Q9NQ79	FALSE
Q9NQC3	FALSE
Q9NQP4	FALSE
Q9NQR4	FALSE
Q9NR12	FALSE
Q9NS71	FALSE
Q9NSB2	FALSE
Q9NTJ3	FALSE
Q9NTK5	FALSE
Q9NTX5	FALSE
Q9NUQ6	FALSE
Q9NWV4	FALSE
Q9NX63	FALSE
Q9NXE4	FALSE
Q9NY33	FALSE
Q9NY97	FALSE
Q9NYL2	FALSE
Q9NYL9	FALSE
Q9NYU2	FALSE
Q9NZ08	FALSE
Q9NZD4	FALSE
Q9NZJ5	FALSE
Q9NZK5	FALSE
Q9NZN3	FALSE
Q9NZP8	FALSE
Q9P0L0	FALSE
Q9P0Z9	FALSE
Q9P1F3	FALSE
Q9P1Y5	FALSE
Q9P260	FALSE
Q9P2E9	FALSE
Q9P2T1	FALSE
Q9UBF2	FALSE
Q9UBG0	FALSE
Q9UBP6	FALSE
Q9UBP9	FALSE
Q9UBQ0	FALSE
Q9UBQ7	FALSE
Q9UBR1	FALSE
Q9UBR2	FALSE
Q9UBW5	FALSE
Q9UBX5	FALSE
Q9UDT6	FALSE
Q9UG56	FALSE
Q9UGM3	FALSE
Q9UGM5	FALSE
Q9UHA4	FALSE
Q9UHD1	FALSE
Q9UHG3	FALSE
Q9UI17	FALSE
Q9UI26	FALSE
Q9UIF8	FALSE
Q9UIJ7	FALSE
Q9UJC5	FALSE
Q9UJJ9	FALSE
Q9UJU6	FALSE
Q9UK55	FALSE
Q9UK76	FALSE
Q9UKV8	FALSE
Q9UKX7	FALSE
Q9UKY7	FALSE
Q9UL25	FALSE
Q9UL46	FALSE
Q9ULA0	FALSE
Q9ULV4	FALSE
Q9UM47	FALSE
Q9UMX5	FALSE
Q9UNF1	FALSE
Q9UNN8	FALSE
Q9UNW1	FALSE
Q9UNZ2	FALSE
Q9UPT8	FALSE
Q9UQ35	FALSE
Q9UQ80	FALSE
Q9UQM7	FALSE
Q9Y230	FALSE
Q9Y244	FALSE
Q9Y263	FALSE
Q9Y265	FALSE
Q9Y287	FALSE
Q9Y2B0	FALSE
Q9Y2E5	FALSE
Q9Y2G3	FALSE
Q9Y2M0	FALSE
Q9Y2S2	FALSE
Q9Y2S6	FALSE
Q9Y2T3	FALSE
Q9Y2X3	FALSE
Q9Y2Z0	FALSE
Q9Y3B2	FALSE
Q9Y3B4	FALSE
Q9Y3D6	FALSE
Q9Y3I0	FALSE
Q9Y446	FALSE
Q9Y490	FALSE
Q9Y4E8	FALSE
Q9Y4I1	FALSE
Q9Y4L1	FALSE
Q9Y4R8	FALSE
Q9Y536	FALSE
Q9Y5K5	FALSE
Q9Y5K8	FALSE
Q9Y5L4	FALSE
Q9Y5Q8	FALSE
Q9Y5Y7	FALSE
Q9Y608	FALSE
Q9Y617	FALSE
Q9Y624	FALSE
Q9Y696	FALSE
Q9Y6C2	FALSE
Q9Y6G9	FALSE
Q9Y6I3	FALSE
Q9Y6R7	FALSE
Q9Y6U3	FALSE
Q9Y6V0	FALSE
Q9Y6Z7	FALSE
