uniprot_acc	is_control_genes
P04179	FALSE
P04180	FALSE
P04196	FALSE
P04206	FALSE
P04207	FALSE
P04211	FALSE
P04217	FALSE
P04220	FALSE
P04259	FALSE
P04264	FALSE
P04275	FALSE
P04278	FALSE
P04406	FALSE
P04424	FALSE
P04430	FALSE
P04431	FALSE
P04432	FALSE
P04433	FALSE
P04434	FALSE
P04632	FALSE
P04792	FALSE
P05019	FALSE
P05060	FALSE
P05062	FALSE
P05067	FALSE
P05089	FALSE
P05090	FALSE
P05091	FALSE
P05106	FALSE
P05109	FALSE
P05121	FALSE
P05154	FALSE
P05155	FALSE
P05156	FALSE
P05160	FALSE
P05164	FALSE
P05165	FALSE
P05166	FALSE
P05186	FALSE
P05362	FALSE
P05387	FALSE
P05388	FALSE
P05408	FALSE
P05413	FALSE
P05452	FALSE
P05543	FALSE
P05546	FALSE
P05556	FALSE
P05787	FALSE
P06132	FALSE
P06276	FALSE
P06309	FALSE
P06310	FALSE
P06312	FALSE
P06314	FALSE
P06326	FALSE
P06331	FALSE
P06396	FALSE
P06400	FALSE
P06454	FALSE
P06576	FALSE
P06681	FALSE
P06702	FALSE
P06727	FALSE
P06730	FALSE
P06733	FALSE
P06737	FALSE
P06744	FALSE
P06748	FALSE
P06753	FALSE
P06858	FALSE
P06865	FALSE
P06889	FALSE
P07093	FALSE
P07108	FALSE
P07195	FALSE
P07203	FALSE
P07225	FALSE
P07237	FALSE
P07305	FALSE
P07333	FALSE
P07339	FALSE
P07355	FALSE
P07357	FALSE
P07358	FALSE
P07359	FALSE
P07360	FALSE
P07384	FALSE
P07437	FALSE
P07451	FALSE
P07476	FALSE
P07585	FALSE
P07602	FALSE
P07686	FALSE
P07711	FALSE
P07737	FALSE
P07738	FALSE
P07814	FALSE
P07858	FALSE
P07864	FALSE
P07900	FALSE
P07910	FALSE
P07911	FALSE
P07919	FALSE
P07942	FALSE
P07951	FALSE
P07954	FALSE
P07988	FALSE
P07996	FALSE
P08107	FALSE
P08123	FALSE
P08133	FALSE
P08134	FALSE
P08174	FALSE
P08185	FALSE
P08195	FALSE
P08236	FALSE
P08238	FALSE
P08246	FALSE
P08253	FALSE
P08294	FALSE
P08311	FALSE
P08397	FALSE
P08473	FALSE
P08493	FALSE
P08514	FALSE
P08519	FALSE
P08567	FALSE
P08571	FALSE
P08572	FALSE
P08575	FALSE
P08581	FALSE
P08582	FALSE
P08603	FALSE
P08648	FALSE
P08670	FALSE
P08697	FALSE
P08709	FALSE
P08727	FALSE
P08758	FALSE
P08779	FALSE
P08865	FALSE
P09104	FALSE
P09110	FALSE
P09172	FALSE
P09211	FALSE
P09382	FALSE
P09417	FALSE
P09429	FALSE
P09467	FALSE
P09486	FALSE
P09488	FALSE
P09493	FALSE
P09496	FALSE
P09497	FALSE
P09543	FALSE
P09619	FALSE
P09622	FALSE
P09651	FALSE
P09668	FALSE
P09871	FALSE
P09936	FALSE
P09960	FALSE
P09972	FALSE
P0C0L4	FALSE
P0C0L5	FALSE
P0CF74	FALSE
P0CG05	FALSE
P0CG06	FALSE
P0CG38	FALSE
P0CG39	FALSE
P0DJI8	FALSE
P0DJI9	FALSE
P0DMV9	FALSE
P0DOX2	FALSE
P0DOX3	FALSE
P0DOX5	FALSE
P0DOX6	FALSE
P0DOX7	FALSE
P0DOX8	FALSE
P0DOY2	FALSE
P0DOY3	FALSE
P0DP01	FALSE
P0DP03	FALSE
P0DP04	FALSE
P0DP08	FALSE
P0DP09	FALSE
P0DSN7	FALSE
P10124	FALSE
P10153	FALSE
P10155	FALSE
P10586	FALSE
P10599	FALSE
P10619	FALSE
P10643	FALSE
P10645	FALSE
P10720	FALSE
P10768	FALSE
P10809	FALSE
P10909	FALSE
P11021	FALSE
P11047	FALSE
P11142	FALSE
P11166	FALSE
P11171	FALSE
P11216	FALSE
P11226	FALSE
P11277	FALSE
P11279	FALSE
P11413	FALSE
P11532	FALSE
P11586	FALSE
P11597	FALSE
P11717	FALSE
P11766	FALSE
P11940	FALSE
P12035	FALSE
P12036	FALSE
P12081	FALSE
P12109	FALSE
P12110	FALSE
P12111	FALSE
P12259	FALSE
P12273	FALSE
P12277	FALSE
P12429	FALSE
P12532	FALSE
P12814	FALSE
P12821	FALSE
P12830	FALSE
P12931	FALSE
P12955	FALSE
P12956	FALSE
P13224	FALSE
P13473	FALSE
P13489	FALSE
P13497	FALSE
P13521	FALSE
P13591	FALSE
P13598	FALSE
P13611	FALSE
P13639	FALSE
P13645	FALSE
P13646	FALSE
P13647	FALSE
P13667	FALSE
P13671	FALSE
P13688	FALSE
P13693	FALSE
P13716	FALSE
P13727	FALSE
P13796	FALSE
P13797	FALSE
P13798	FALSE
P13929	FALSE
P13987	FALSE
P14136	FALSE
P14151	FALSE
P14174	FALSE
P14209	FALSE
P14314	FALSE
P14324	FALSE
P14384	FALSE
P14543	FALSE
P14550	FALSE
P14618	FALSE
P14625	FALSE
P14780	FALSE
P14868	FALSE
P14923	FALSE
P14927	FALSE
P15104	FALSE
P15121	FALSE
P15144	FALSE
P15151	FALSE
P15169	FALSE
P15291	FALSE
P15311	FALSE
P15814	FALSE
P15880	FALSE
P15924	FALSE
P16035	FALSE
P16070	FALSE
P16083	FALSE
P16109	FALSE
P16152	FALSE
P16157	FALSE
P16233	FALSE
P16284	FALSE
P16401	FALSE
P16435	FALSE
P16671	FALSE
P16870	FALSE
P16930	FALSE
P16949	FALSE
P17050	FALSE
P17655	FALSE
P17661	FALSE
P17813	FALSE
P17844	FALSE
P17927	FALSE
P17931	FALSE
P17936	FALSE
P17980	FALSE
P18065	FALSE
P18124	FALSE
P18136	FALSE
P18206	FALSE
P18428	FALSE
P18621	FALSE
P18669	FALSE
P18827	FALSE
P19012	FALSE
P19013	FALSE
P19021	FALSE
P19022	FALSE
P19174	FALSE
P19320	FALSE
P19367	FALSE
P19652	FALSE
P19823	FALSE
P19827	FALSE
P19971	FALSE
P20618	FALSE
P20674	FALSE
